solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
1.63537841078193E+018,18657338111872,488826900,2015,44.8602349926,0.3965313716,0.252331288,0.2350009203,,,,,,,-0.82295,,,,,,,,,,71,0,71,0,0,0,,0.5993357236,7.5954284341,false,1.5129485,1.5441616,,2,11,false,0.36064026,0.7355742,0.39589486,0.87789124,-136.75365,19.75246,-42.126564,23.204262,71,4142.3220057209,9.5927384259,16.4816604239,NOT_AVAILABLE,176.5379361738,-48.8275041218,42.4737536489,-16.0538459281
1.63537841078193E+018,18726057479040,2975681,2015,44.7971120693,15.3028447183,0.2070175283,6.3791559126,,,,,,,-0.18915,,,,,,,,,,33,0,33,0,0,0,,0,0,false,1,0.032343224,,2,7,false,0.47280726,0.52842903,0.23076543,0.9269455,-14.105973,18.751753,28.946024,25.599464,33,134.0374821712,3.0796706925,20.2067044108,NOT_AVAILABLE,176.5203246948,-48.9043387384,42.3971163496,-16.0786316718
1.63537841078193E+018,18794776956416,1139035720,2015,44.7852206397,0.8623326408,0.2149692034,0.49375334,,,,,,,-0.8304,,,,,,,,,,71,0,71,0,0,0,,0.9004425036,2.1692915698,false,1.2517866,0.35671192,,2,11,false,0.36063993,0.7355739,0.39589414,0.87788856,-136.7539,19.752157,-42.126812,23.203995,70,881.3172994176,2.8237042245,18.1619393264,NOT_AVAILABLE,176.4990343206,-48.9073047985,42.3877183765,-16.0675374578
1.63537841078193E+018,18829136694400,939104560,2015,44.8019417318,51.8429582625,0.2091575943,24.021058621,,,,,,,-0.9998,,,,,,,,,,53,0,52,0,1,0,,0,0,false,1,0.28194937,,2,9,false,0.33956325,0.9737563,0.28764042,0.8971276,-159.5678,20.620022,-39.629227,20.607113,53,539.7995889851,4.1730217982,18.69418869,NOT_AVAILABLE,176.523119943,-48.8993860663,42.4025750712,-16.0780046873
1.63537841078193E+018,18829136694656,255493034,2015,44.7982997813,15.4765122049,0.2142679309,7.0274667,,,,,,,-0.9998,,,,,,,,,,51,0,50,0,1,0,,0.5445365368,3.7693203898,false,1.3530265,1.4566013,,2,9,false,0.22978629,0.7184142,0.20280094,0.95061535,-96.535576,23.712706,-30.900265,26.351357,59,3285.8342323713,17.3378507708,16.7331559392,NOT_AVAILABLE,176.5136860536,-48.8984281671,42.4005143131,-16.0720500218
1.63537841078193E+018,18863496433408,1013957910,2015,44.8210871514,5.5998335767,0.2247230017,3.2116486075,,,,,,,-0.75995,,,,,,,,,,61,0,60,0,1,0,,9.5667811131,28.3422689892,false,8.312459,0.008611965,,2,10,false,0.25703752,0.69574744,0.31859392,0.870047,-124.98938,17.978907,-46.944977,22.492714,61,198.3764926061,3.0792647411,19.7810445452,NOT_AVAILABLE,176.5264816092,-48.874810923,42.4263778174,-16.0687481191
1.63537841078193E+018,19207093818624,185557743,2015,44.7810449449,0.1218219827,0.2574454488,0.0940689054,,,,,,,-0.29325,,,,,,,,,,88,0,86,0,2,0,,0.4245288789,8.6010659289,false,1.4975796,3.071357,,2,11,false,0.3757762,0.4115714,0.4612216,0.87736356,-104.13369,14.16812,-48.526306,25.055008,95,7654.1623242697,10.3689557602,15.8150258933,NOT_AVAILABLE,176.4483525651,-48.8806330552,42.3965497378,-16.0257088327
1.63537841078193E+018,19275813399552,465234536,2015,44.8354968179,5.8105252849,0.2374308569,2.8303689035,,,,,,,-0.96095,,,,,,,,,,66,0,65,0,1,0,,0,-6.48633807412066E-16,false,1,0.045855373,,2,11,false,0.35733694,0.8290906,0.36271334,0.883864,-145.19188,20.412878,-40.678326,22.405556,65,130.2242038246,1.8489267305,20.2380407866,NOT_AVAILABLE,176.5279288026,-48.8556219061,42.4445945214,-16.0608305377
1.63537841078193E+018,19275813400064,659610102,2015,44.8396043804,1.2009465773,0.2414790316,0.6845111095,,,,,,,-0.83585,,,,,,,,,,71,0,71,0,0,0,,1.3834689513,3.397608768,false,1.4137397,0.19266523,,2,11,false,0.36064014,0.7355741,0.39589468,0.8778904,-136.75374,19.752365,-42.12664,23.20418,71,651.0540333063,2.6917192162,18.4907274795,NOT_AVAILABLE,176.5278776908,-48.8498548997,42.4499170611,-16.058166324
1.63537841078193E+018,19447612062592,135455651,2015,44.8352074603,0.0969565408,0.2556600888,0.0754252887,,,,,,,-0.26825,,,,,,,,,,88,0,88,0,0,0,,0.3603375904,10.8676404393,false,1.6331608,4.8372664,,2,11,false,0.38027573,0.40432644,0.47201544,0.8749439,-104.43409,13.662558,-48.72348,24.996563,94,13585.4037194552,12.2144134977,15.1920886915,NOT_AVAILABLE,176.5077809302,-48.8431074846,42.4498744537,-16.0433193294
1.63537841078193E+018,19447612095104,905799295,2015,44.8376985587,1.4003677371,0.2554163193,0.7689488263,,,,,,,-0.8498,,,,,,,,,,69,0,69,0,0,0,,0.7563283894,0.5983538897,false,1.0945048,0.16274203,,2,11,false,0.34641656,0.728793,0.37947896,0.881879,-134.32372,20.02616,-41.743645,23.516857,69,436.8806837726,2.2150291252,18.9238629557,NOT_AVAILABLE,176.5106879768,-48.8414936572,42.4522778792,-16.0442835033
1.63537841078193E+018,19451907174144,799551048,2015,44.8332653315,13.1082105432,0.2613203578,10.6302699366,,,,,,,-0.97145,,,,,,,,,,54,0,54,0,0,0,,0.6055623439,0.0463553015,false,2.536608,0.020210234,,2,10,false,0.18700533,0.6747242,0.30616927,0.8710463,-111.75566,15.630565,-53.288395,21.262774,54,106.150620904,1.9104961007,20.4599637168,NOT_AVAILABLE,176.4995624971,-48.8405473177,42.4496713226,-16.0373383327
1.63537841078193E+018,19520626543744,19335420,2015,44.8017219018,0.1685331281,0.2564192398,0.1331951202,,,,,,,-0.32775,,,,,,,,,,89,0,88,0,1,0,,0.7552049957,59.1807517923,false,3.0744183,1.5689496,,2,11,false,0.3802753,0.4043271,0.47201604,0.8749425,-104.43416,13.662347,-48.723553,24.99646,97,16132.2521751169,51.1224722645,15.0055325584,NOT_AVAILABLE,176.4714253539,-48.8665516668,42.4168004339,-16.032762794
1.63537841078193E+018,19619410717184,214041322,2015,44.80079423,1.5792797752,0.2638644234,0.8646564608,,,,,,,-0.84745,,,,,,,,,,70,0,70,0,0,0,,0.8745683742,6.9212927227,false,1.1095705,0.13468973,,2,11,false,0.3535725,0.7322447,0.38781986,0.8799171,-135.57481,19.889704,-41.936028,23.360535,69,374.5149524958,2.3752826632,19.0910971599,NOT_AVAILABLE,176.462340004,-48.8620162764,42.4181526086,-16.0253734541
1.63537841078193E+018,19688133191680,334172227,2015,44.8311691936,3.0280225827,0.2787984952,1.5687078978,,,,,,,-0.7818,,,,,,,,,,60,0,59,0,1,0,,0,0,false,1,0.056892555,,2,9,false,0.25327456,0.7228584,0.31409344,0.8700694,-129.38269,17.967955,-47.175373,22.025587,60,187.6529075616,3.1904094898,19.8413818191,NOT_AVAILABLE,176.4783281956,-48.8298457925,42.4529238676,-16.0200147507
1.63537841078193E+018,19722489969408,605370520,2015,44.8150712758,0.1515568635,0.2835395312,0.1122757692,,,,,,,-0.28265,,,,,,,,,,71,0,71,0,0,0,,0.6157308792,32.0189462469,false,1.8480248,2.1619866,,2,8,false,0.4234625,0.2604942,0.34148723,0.9511084,-73.9191,15.2452,-49.248577,27.93302,70,14586.5537669928,11.1392850605,15.1148883209,NOT_AVAILABLE,176.456094388,-48.8380569636,42.4383616978,-16.0107573884
1.63537841078193E+018,20031727905792,801409542,2015,44.9410738476,46.9252494188,0.2735421201,21.6742244374,,,,,,,-0.9996,,,,,,,,,,53,0,52,0,1,0,,1.5135850679,1.2722054762,false,1.2047969,0.08126322,,2,8,false,0.3042248,0.9784788,0.27930972,0.915814,-151.51283,23.105982,-30.78131,23.181898,52,280.2533218039,2.3739029413,19.4058931415,NOT_AVAILABLE,176.6004333071,-48.754775665,42.5606473275,-16.0572684961
1.63537841078193E+018,20203526343040,23422255,2015,44.9146243055,1.4433395248,0.2759543534,0.8745543671,,,,,,,-0.84975,,,,,,,,,,54,0,53,0,1,0,,2.2390898094,30.8592036165,false,2.3880415,0.1477845,,2,7,false,0.25973225,0.65793157,0.20905083,0.95577693,-95.30922,23.70871,-34.43624,26.442707,53,1040.4786200386,5.0656346703,17.9816871622,NOT_AVAILABLE,176.5698334749,-48.7720537623,42.5350688967,-16.0472111981
1.63537841078193E+018,20203526343424,292682117,2015,44.9114304752,0.3548805289,0.2770468625,0.192873628,,,,,,,-0.73185,,,,,,,,,,68,0,67,0,1,0,,0.5225574618,4.9685892914,false,1.3296292,1.573831,,2,9,false,0.37856713,0.8312144,0.3730715,0.88992465,-145.67401,20.85087,-40.158836,22.505817,67,3395.5022267444,37.2973465969,16.6975100148,NOT_AVAILABLE,176.5652657657,-48.7735807827,42.5322248116,-16.0452305192
